store_num,product_id,upc,regular_price,sale_price,multi_buy,multi_price,promo_text,sale_start,sale_end,unit_price,unit_size
22865,,,,17.99,,,"30 Pack
SALE APPLICABLE IN NH ONLY","October 5, 2025","October 11, 2025",,
22865,,,,17.99,,,"30 pack cans
SALE APPLICABLE IN NH ONLY","October 5, 2025","October 11, 2025",,
22865,,,,17.99,,,"30 pack cans
SALE APPLICABLE IN NH ONLY","October 5, 2025","October 11, 2025",,
22865,,,,17.99,,,"30 pack
Sale Applicable in NH Only","October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"18 Pack
Sale Applicable Only in NH","October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"18 pack cans &amp; bottles
Sale Applicable in NH Only","October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"18 pack cans &amp; bottles
SALE APPLICABLE IN NH ONLY","October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"18 Pack
Sale Applicable Only in NH","October 5, 2025","October 11, 2025",,
22865,,,,22.99,,,"12 Pack
Sale Applicable in NH Only","October 5, 2025","October 11, 2025",,
22865,,,,22.99,,,"12 Pack
Sale Only Applicable in NH","October 5, 2025","October 11, 2025",,
22865,,,,22.99,,,"12 Pack
Sale Applicable only in NH","October 5, 2025","October 11, 2025",,
22865,,,,22.99,,,"12 Pack
Sale Applicable Only in NH","October 5, 2025","October 11, 2025",,
22865,,,,17.99,,,Sale Applicable in NH Only,"October 5, 2025","October 11, 2025",,
22865,,,,11.99,,,"Deal Price w/$1 Coupon
Sale Applicable Only in NH","October 5, 2025","October 11, 2025",,
22865,,,,10.99,,,"Sale Price $12.99
Deal Price w/$1 Coupon 
Sale Applicable in NH Only","October 5, 2025","October 11, 2025",,
22865,,,,8.99,,,"Sale Price $10.99
Deal Price w/$1 Coupon
Sale Applicable in NH Only","October 5, 2025","October 11, 2025",,
22865,,,,8.99,,,"Deal Price w/$1 Coupon
SALE APPLICABLE IN NH ONLY","October 5, 2025","October 11, 2025",,
22865,,,,5.99,,,12 count,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,"18-19.7 oz. pkg.
17 Varieties","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,18 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,8.99,,,10 Count 13 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,20 Count,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,25.2-32 oz,"October 5, 2025","October 11, 2025",,
